,2002,2003,2004,2005,2006,2007,2008,2009,2010,
January,"1,689","1,898","1,787","2,188","1,903","1,811","1,759","1,118","1,059",
February,"1,587","2,308","2,543","2,425","2,696","1,826","1,437","1,427","1,027",
March,"2,279","2,141","1,935","3,511","2,050","1,166","1,660","1,117","1,172",
April,"2,726","3,790","3,847","2,708","3,151","1,911","2,121","1,275","1,122",
May,"2,662","2,822","2,680","2,949","2,721","1,711","1,626","1,477",925,
June,"1,894","2,471","1,777","1,899","2,032","1,518","1,163","1,043",898,
July,"3,522","3,622","3,817","3,706","2,828","1,905","1,837","1,483","1,244",
August,"4,843","4,845","4,781","4,353","3,698","2,354","1,910","1,382","1,310",
September,"2,144","2,494","2,098","2,140","2,373","1,584","1,314","1,253","1,131",
October,"2,754","3,189","2,863","3,334","2,386","1,755","1,643","1,362","1,151",
November,"3,624","4,014","3,435","2,923","2,466","1,959","1,383","1,234","1,053",
December,"3,947","3,726","3,879","3,183","2,908","1,991","1,497","1,501","1,350",
Total ,"33,671","37,320","35,442","35,319","31,212","21,491","19,350","15,672","13,442",
