,2002,2003,2004,2005,2006,2007,2008,2009,2010,
January,"3,940","2,921","3,301","5,347","3,783","3,857","6,714","3,929","4,883",
February,"3,901","5,418","5,344","4,706","6,178","5,507","5,882","5,937","3,855",
March,"4,053","4,194","4,396","4,787","4,636","4,152","5,207","4,287","4,088",
April,"2,906","3,726","3,628","3,909","4,111","4,232","4,257","3,717","3,270",
May,"2,928","2,585","2,764","3,562","3,840","3,760","3,766","3,632","3,414",
June,"2,878","2,858","3,154","3,090","3,495","3,836","3,034","3,422","3,323",
July,"4,424","4,588","3,802","4,116","4,426","4,672","5,939","4,789","4,850",
August,"3,438","3,454","3,655","3,496","4,071","4,117","4,375","3,727","3,632",
September,"1,921","2,131","2,356","2,409","3,178","2,895","2,515","2,486","2,653",
October,"2,654","2,801","2,491","2,795","3,042","4,011","3,322","3,286","3,273",
November,"2,576","2,919","3,100","3,607","2,952","4,154","3,735","3,325","3,425",
December,"5,515","5,441","5,574","5,878","6,017","6,218","5,459","6,977","6,062",
Total ,"41,134","43,036","43,565","47,702","49,729","51,411","54,205","49,514","46,728",
