,2002,2003,2004,2005,2006,2007,2008,2009,2010,
January,677,943,831,"1,180",723,749,407,506,559,
February,190,909,"1,043","1,029",798,817,320,524,291,
March,925,842,880,"1,009",662,366,820,603,645,
April,465,678,583,655,690,521,442,404,375,
May,275,477,554,669,425,310,331,377,298,
June,210,252,416,513,273,243,319,276,278,
July,302,492,349,425,486,328,375,377,434,
August,331,483,440,603,486,404,390,431,352,
September,309,337,496,518,142,242,377,319,320,
October,321,523,498,540,366,346,328,369,363,
November,846,820,"1,220",764,827,474,282,518,439,
December,212,735,868,761,840,622,485,189,367,
Total ,"5,063","7,491","8,178","8,666","6,718","5,422","4,876","4,893","4,721",
