,2002,2003,2004,2005,2006,2007,2008,2009,2010,
January,"1,047","1,129","1,180","1,441","1,246",704,742,546,661,
February,"1,124","1,551","1,474","1,687","1,315",759,690,539,379,
March,"1,175","1,353","1,365","2,101","1,201",753,836,521,656,
April,"1,143","1,926","1,704","1,671","1,472",685,975,564,639,
May,"1,397","1,302","1,205","1,549","1,300",941,815,659,482,
June,"1,084","1,321","1,232","1,554","1,103",762,517,552,527,
July,"1,784","2,064","1,601","1,618","1,454","1,015",892,673,705,
August,"1,631","1,816","1,553","1,848","1,337",918,788,663,705,
September,"1,016","1,266","1,269","1,308",953,767,620,550,498,
October,"1,718","1,677","2,247","1,380","1,110",894,870,647,607,
November,"1,346","1,599","1,968","1,297",966,799,620,485,595,
December,"1,915","2,216","2,777","2,047","1,353","1,172",825,940,919,
Total ,"16,380","19,220","19,575","19,501","14,810","10,169","9,190","7,339","7,373",
