,2002,2003,2004,2005,2006,2007,2008,2009,2010,
January,"1,398","1,410","1,539","1,461","1,697","1,731","2,821","1,774","1,848",
February,"1,568","2,088","2,285","1,911","2,230","2,173","2,303","2,061","1,471",
March,"1,530","1,941","1,764","2,219","1,560","1,620","2,146","1,385","1,405",
April,"1,460","1,758","2,283","1,731","1,756","1,975","2,277","1,661","1,350",
May,"2,413","2,037","1,662","2,076","2,186","2,163","2,041","1,760","1,248",
June,"1,686","1,665","1,764","1,637","1,777","1,984","1,437","1,378","1,413",
July,"2,375","2,135","2,264","2,315","2,436","2,434","2,540","2,143","2,194",
August,"2,675","2,761","2,628","2,469","2,868","3,247","2,084","1,919","1,522",
September,"1,636","1,656","1,501","1,531","1,934","1,999","2,019","1,520","1,721",
October,"1,787","1,951","1,527","1,548","1,764","2,063","1,840","1,644","1,483",
November,"1,584","1,559","1,515","1,602","1,551","1,908","1,725","1,485","1,359",
December,"1,932","1,822","1,596","1,699","2,043","2,207","1,864","1,949","1,476",
Total ,"22,044","22,783","22,328","22,199","23,802","25,504","25,097","20,679","18,490",
