,2002,2003,2004,2005,2006,2007,2008,2009,2010,
January,"4,835","4,523","5,245","7,948","4,307","5,554","4,600","3,718","3,716",
February,"2,861","6,801","7,756","6,926","8,709","7,285","2,218","4,718","3,036",
March,"5,136","4,205","7,414","6,313","5,795","5,529","5,105","4,851","3,441",
April,"3,864","4,532","6,400","5,333","4,997","4,335","4,512","3,331","2,802",
May,"3,551","5,166","4,508","4,305","4,733","4,798","5,254","2,822","2,269",
June,"3,349","3,146","3,457","3,813","3,402","3,624","3,067","2,531","2,254",
July,"4,393","4,936","5,499","5,174","5,111","5,511","3,652","3,335","2,914",
August,"4,565","4,896","4,385","3,978","4,475","3,996","3,063","2,473","2,660",
September,"3,714","4,077","4,625","3,826","1,881","4,126","2,950","2,385","2,146",
October,"4,688","4,967","5,091","4,729","4,248","4,314","2,936","2,725","2,641",
November,"4,134","4,370","4,857","4,754","4,882","5,152","2,173","3,175","2,804",
December,"2,879","5,947","6,852","6,424","6,404","5,436","3,394","2,336","3,169",
Total ,"47,969","57,566","66,089","63,523","58,944","59,660","42,924","38,400","33,852",
