,2002,2003,2004,2005,2006,2007,2008,2009,2010,
January,"10,130","7,065","8,732","16,581","9,732","10,278","20,585","11,227","13,733",
February,"14,290","19,336","21,329","17,817","22,290","21,079","14,721","22,752","18,491",
March,"10,458","9,467","11,545","14,155","12,156","18,595","15,629","12,913","15,384",
April,"9,344","11,261","13,727","12,502","14,632","14,839","15,411","16,358","13,818",
May,"9,771","9,566","10,142","12,687","13,941","13,237","14,534","14,554","12,803",
June,"11,845","11,574","12,938","14,267","14,738","16,498","14,742","17,375","15,741",
July,"15,469","15,943","18,068","18,176","18,207","18,716","23,161","23,084","22,050",
August,"12,453","13,196","15,334","14,039","15,165","15,051","16,338","16,750","16,269",
September,"6,604","7,152","8,640","9,179","10,817","10,191","10,128","10,531","10,692",
October,"7,603","8,697","9,182","9,579","10,313","11,281","12,537","12,659","12,005",
November,"8,351","8,411","10,777","10,817","10,206","13,212","13,191","12,001","12,222",
December,"15,744","17,267","19,042","18,186","20,529","21,818","18,576","25,234","20,356",
Total ,"132,062","138,935","159,456","167,985","172,726","184,795","189,553","195,438","183,564",
