,2002,2003,2004,2005,2006,2007,2008,2009,2010,
January,"1,197",945,890,944,847,931,"1,269",949,876,
February,"1,145",996,"1,042",983,866,583,"1,198","1,080",733,
March,871,716,748,846,675,521,"1,264",767,791,
April,827,849,918,762,892,602,"1,024",993,529,
May,821,692,765,766,756,795,935,836,629,
June,782,741,743,745,682,830,644,872,611,
July,"1,050",893,920,820,760,932,880,853,778,
August,"1,195","1,033","1,043",958,"1,013","1,326","1,083","1,287","1,029",
September,913,862,903,872,"1,006","1,040",939,907,"1,326",
October,694,996,830,833,888,"1,101",809,"1,017",734,
November,707,721,798,828,704,"1,667","1,099",942,715,
December,716,829,924,834,885,"2,077","1,108","1,017",839,
Total ,"10,918","10,273","10,524","10,191","9,974","12,405","12,252","11,520","9,590",
