2002,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,239,"2,557",49,45,26,425,"3,341"
February,259,"4,270",161,135,1,799,"5,625"
March,424,"4,513",184,115,7,776,"6,019"
April,194,"2,737",241,100,2,533,"3,807"
May,222,"2,312",178,121,5,598,"3,436"
June,347,"2,466",107,151,14,272,"3,357"
July,647,"3,633",224,285,4,417,"5,210"
August,480,"3,853",113,185,11,297,"4,939"
September,256,"2,733",118,211,3,267,"3,588"
October,282,"3,535",201,204,3,292,"4,517"
November,302,"4,111",185,166,5,339,"5,108"
December,431,"2,073",51,73,2,251,"2,881"
Total,"4,083","38,793","1,812","1,791",83,"5,266","51,828"
