2010,Visiting Friends & Relatives            ,Leisure/ Beach Vacation                 ,Business/Convention                     ,Wedding/Honeymoon                       ,Study                                   ,Other,Total
January,247,"2,266",66,59,19,147,"2,804"
February,180,"1,576",26,51,1,92,"1,926"
March,285,"2,130",49,57,0,148,"2,669"
April,250,"1,791",63,58,8,164,"2,334"
May,235,"1,034",53,47,0,65,"1,434"
June,224,948,94,23,6,49,"1,344"
July,388,"1,580",49,83,3,81,"2,184"
August,252,"1,457",92,38,4,71,"1,914"
September,196,926,43,37,3,77,"1,282"
October,240,"1,448",48,24,0,43,"1,803"
November,224,"1,728",86,49,4,73,"2,164"
December,488,"1,555",25,19,2,111,"2,180"
Total,"3,209","18,439",694,545,50,"1,121","24,038"
