,Private Home,Hotel,Guest House,Other,Total
January,"1,966","4,091",694,874,"7,625"
February,"2,794","4,435",766,936,"8,931"
March,"1,747","2,819",522,652,"5,740"
April,"1,863","2,732",363,488,"5,446"
May,871,"2,726",261,407,"4,265"
June,900,"1,750",191,356,"3,197"
July,"1,602","2,306",300,473,"4,681"
August,"1,204","1,970",259,311,"3,744"
September,944,"2,239",230,311,"3,724"
October,930,"2,526",262,458,"4,176"
November,"1,008","3,307",297,500,"5,112"
December,"2,160","3,203",343,653,"6,359"
YTD Total ,"17,989","34,104","4,488","6,419","63,000"
