,Apartment                               ,Bed & Breakfast                         ,Campus                                  ,Condo                                   ,Dive Lodge/Eco Lodge                    ,Guest House                             ,Hotel                                   ,Private Home                            ,Villa/Cottage/Bungalow                  ,Undefined                               ,Total
January,127,2,7,23,16,195,1114,787,110,423,2804
February,72,10,,24,6,108,681,854,62,109,1926
March,159,4,,16,15,189,1107,583,99,497,2669
April,77,4,,20,9,152,1127,566,79,300,2334
May,49,6,,13,5,73,709,412,44,123,1434
June,44,7,,7,3,62,513,656,31,51,1374
July,43,5,,11,1,101,692,1186,84,61,2184
August,36,9,1,10,1,87,728,740,52,250,1914
September,42,1,,3,6,35,506,531,24,134,1282
October,38,3,,14,1,45,800,754,54,94,1803
November,51,1,,5,4,103,1067,713,166,54,2164
December,57,6,,6,3,76,641,1179,66,116,2150
YTD Total ,795,58,8,152,70,"1,226","9,685","8,961",871,"2,212","24,038"
