,Private Home,Hotel,Guest House,Other,Total
January,"21,481","9,614","1,487","1,301","33,881"
February,"34,887","9,589","1,537","1,361","47,373"
March,"23,513","8,666","1,409","1,275","34,862"
April,"25,818","7,776","1,213","1,256","36,063"
May,"23,391","9,199",924,973,"34,487"
June,"25,771","7,897",891,740,"35,298"
July,"33,572","7,236",960,757,"42,524"
August,"29,874","7,096","1,128",694,"38,791"
September,"19,790","7,953",823,575,"29,140"
October,"21,961","8,393",967,675,"31,994"
November,"24,121","9,938","1,361",772,"36,190"
December,"38,592","8,197","1,196",866,"48,850"
YTD Total ,"322,768","101,551","13,894","11,241","449,453"
