2003,Visiting Friends & Relatives,"Leisure, Beach or Vacation",Business or Convention,Wedding or Honeymoon,Study,Other,Total
January,"5,975","8,743","5,240",511,"1,230","4,110","25,809"
February,"8,635","15,968","5,735",576,180,"15,314","46,408"
March,"7,482","10,316","6,481",455,387,"5,379","30,500"
April,"9,523","13,109","5,551",922,331,"5,750","35,186"
May,"7,147","10,568","6,496",862,285,"4,793","30,151"
June,"8,318","9,746","6,594",856,198,"3,574","29,286"
July,"14,167","15,106","6,717","1,435",318,"4,369","42,112"
August,"11,729","15,423","5,820","1,471",597,"3,801","38,841"
September,"5,945","8,242","6,736",634,714,"3,286","25,557"
October,"7,959","10,784","7,451",718,296,"3,815","31,023"
November,"7,111","11,892","6,791",619,173,"3,467","30,053"
December,"17,093","17,668","4,572","1,336",129,"3,345","44,143"
Total,"111,084","147,565","74,184","10,395","4,838","61,003","409,069"
